Year,Temperature (ÂºC)
1961,0.209
1962,0.034
1963,0.164
1964,-0.252
1965,-0.224
1966,0.201
1967,-0.117
1968,-0.122
1969,-0.093
1970,0.153
1971,-0.089
1972,-0.198
1973,0.269
1974,-0.182
1975,0.088
1976,-0.313
1977,0.272
1978,0.001
1979,0.218
1980,0.328
1981,0.437
1982,0.076
1983,0.452
1984,0.119
1985,-0.035
1986,0.236
1987,0.394
1988,0.551
1989,0.325
1990,0.633
1991,0.459
1992,0.181
1993,0.343
1994,0.502
1995,0.83
1996,0.352
1997,0.658
1998,0.99
1999,0.777
2000,0.726
2001,0.833
2002,1.015
2003,0.895
2004,0.911
2005,1.1
2006,0.999
2007,1.19
2008,0.928
2009,0.948
2010,1.215
2011,0.913
2012,1.07
2013,1.016
2014,1.047
2015,1.407
2016,1.659
2017,1.429
2018,1.283
2019,1.435
2020,1.682
2021,1.466
2022,1.374